u,v,length
68216759,384327686,72.982
68216759,68210934,149.274
68216764,384327686,33.717
68216880,68216883,100.997
68216880,498661558,78.647
68216880,68245634,123.215
68216883,68216880,100.997
68216883,68277189,57.476
68216883,68216896,158.60399999999998
68216896,68216899,27.224
68216896,68225794,182.283
68216896,68225788,100.697
68216896,68216883,158.60399999999998
68216899,68216902,26.542
68216899,68216896,27.224
68216899,68245638,101.819
68216902,68216899,26.542
68216902,68299528,158.125
68216902,68216904,120.872
68216904,498420864,189.523
68216904,68245642,146.12
68216904,68216902,120.872
68219059,384327686,208.318
68219059,68204046,119.09
68219059,68294161,32.257
68219859,68205591,36.359
68219859,68188918,136.37
68219859,68194501,101.339
68221067,68200613,104.747
68221067,68332317,122.315
68221067,6702559855,48.294
68222862,68222865,291.887
68222862,68345663,113.61099999999999
68222862,68374074,31.627
68222865,68222867,170.129
68222865,68222862,291.887
68222865,68317905,109.408
68222865,68317902,108.534
68222867,68222869,167.357
68222867,68222865,170.129
68222867,68345666,110.282
68222867,68332314,109.195
68222869,68222871,123.984
68222869,68222867,167.357
68222869,68345668,109.259
68222869,68332317,108.624
68222871,68222869,123.984
68224300,68224302,109.074
68224300,68199224,38.978
68224300,69656282,288.744
68224302,68224300,109.074
68224302,68238672,176.084
68224302,68238650,198.946
68224766,68224769,167.349
68224769,68203815,37.925
68224769,68214812,90.425
68224769,68224766,167.349
68225133,68225154,291.48
68225133,69582559,188.13299999999998
68225133,68191993,68.775
68225154,68225133,291.47999999999996
68225154,68192000,283.338
68225154,69203733,45.072
68225788,68216896,100.697
68225788,68245638,32.853
68225788,68236315,33.864
68225788,5416127169,70.038
68225794,68216896,182.283
68225794,5416127168,98.376
68225794,68277190,168.67999999999998
68228068,68228070,101.515
68228068,68213748,149.807
68228068,68390029,290.539
68228070,68228068,101.515
68228562,68228564,105.256
68228562,68363766,142.228
68228562,68180776,244.323
68228564,68228562,105.256
68228564,2507675760,137.093
68228564,68314137,85.25
68228564,68180790,279.949
68230580,68298193,16.988
68230580,68230608,422.681
68230580,68236827,306.358
68230580,68323897,244.214
68230608,68230580,422.68100000000004
68230608,68298208,206.3
68233220,68233222,92.455
68233220,68269264,97.19
68233220,68214809,140.89600000000002
68233222,68233220,92.455
68233222,68233223,137.41199999999998
68233222,68294113,185.627
68233223,68269267,100.08
68233223,68444885,130.154
68233223,68233225,132.027
68233223,68233222,137.41199999999998
