u,v,length
5173481694,69172654,1375.3699999999997
5198748651,69588600,530.1680000000001
5198748651,69421277,92.451
5198748651,8481441836,298.41999999999996
5230967735,2253195935,353.53000000000003
5230967741,5230967735,42.592
5230967752,2253195935,14.698
5230967752,2706655647,330.942
5253681613,69324206,304.404
5253681613,4453723417,229.96699999999998
5292420707,69172080,58.5
5292420707,5292420711,82.56
5292420707,69146707,895.722
5292420711,69172091,166.16400000000002
5292420720,69172080,36.388
5292420720,5292420707,70.067
5408449898,69156539,33.009
5408449898,69326333,72.381
5411749582,69594877,1653.7689999999998
5411749582,7138612590,60.512
5411837870,5430680540,80.23899999999999
5411837870,318456685,118.12899999999999
5412061134,69292859,28.334
5412096079,69331014,13.941
5412096079,69573269,1393.8219999999997
5412096079,7138433687,66.008
5412096083,5412096079,49.311
5412704553,1572629607,1807.1209999999999
5412704553,69169084,45.306
5412704553,5617170754,74.486
5415829180,5430680537,24.802
5415829180,5430680541,110.34
5415829180,69476273,76.81899999999999
5421847211,69394418,35.592
5422301826,2867449809,1250.519
5422301826,69444274,26.664
5423954709,69172419,894.6269999999998
5423954709,1037846094,330.70199999999994
5424022137,5442365908,32.638999999999996
5424450007,69320144,57.525999999999996
5425991500,69552957,31.271
5425991500,2509917599,40.724000000000004
5425991500,69216947,4982.299
5426326848,69120868,219.47900000000004
5426326848,1600192490,118.29399999999998
5426326851,5426326848,54.861999999999995
5428702921,69244864,173.39000000000001
5428702921,69310540,578.084
5430611959,69320144,1404.267
5430611959,5430611954,23.08
5430611959,69255685,478.294
5430625608,9345557114,31.889
5430625608,69233222,1741.771
5430625608,69208060,40.010000000000005
5430636467,5430636462,29.836
5430636467,5430683899,2073.2130000000006
5430636467,69292876,1131.697
5430680537,5415829180,24.802
5430680537,69573600,40.338
5430680540,69573600,43.344
5430680540,5430680537,59.278999999999996
5430680540,5411837870,80.23899999999999
5430680541,69573600,84.78399999999999
5430680541,69573611,472.482
5430680545,69215120,408.21
5430680548,1861951606,39.795
5430680548,5430680545,39.041
5430680548,69657397,134.12199999999999
5430680549,69476287,385.791
5430680549,69195707,46.275999999999996
5430680552,5430680549,35.796
5430680552,69195707,51.041
5430680552,69245675,182.29499999999996
5430683899,5430683900,58.127
5430683899,5430683900,106.22
5430683899,5430636467,2073.2129999999997
5430683900,9308935583,898.3550000000001
5430683900,5430683899,58.127
5430716744,3582046474,9.33
5430716744,3582046473,27.247999999999998
5430716747,5430716744,47.032000000000004
5430716747,3582046473,33.803
5436991921,5436991924,41.047
5436991921,69326139,38.341
5436991921,69628220,3203.373
5436991924,4214310936,38.61300000000001
5437239135,2323344265,41.214
5437239135,69546346,34.344
5437715569,5424450003,20.648
5437715569,69314896,232.51700000000002
5437715569,69320144,78.486
5439816370,5439816367,37.033
5439816370,2507729347,691.649
5439816370,5441892389,328.966
5441892389,69172419,131.161
5441892389,5439816370,328.9659999999999
5441892393,5441892389,46.446
5442365908,5442365911,32.32
5442365908,69178704,908.9369999999999
5442365911,69239982,29.584000000000003
5442365911,3798477115,26.237000000000002
5442365913,69239982,36.729
5442365913,5442365917,30.955
5442365913,69499723,109.305
5442365917,69239982,38.185
5442365917,69589641,2500.8329999999996
5442595465,4850945628,244.93299999999996
5442595465,69391614,43.80299999999999
5442595465,4768032951,30.829
5444507489,69209167,21.343
5444507489,69209152,329.80899999999997
5444507494,69209167,28.464
5444507494,5444507489,33.63
5466095725,69207768,967.816
5466095725,69193021,52.385000000000005
5617170754,5617170750,51.839999999999996
5617170754,5412704553,74.486
5649592815,69133293,6.724
5649592815,69191500,17.367
5649592816,68147084,6.028
5649592816,68196556,21.656
5674178518,69589641,1463.793
5674178518,9535944752,22.701
5853070780,69109821,61.278999999999996
5940874978,1280114240,51.877
5940874978,5940874974,71.543
5940874978,69193533,2075.542
5940874982,5940874978,73.965
5941482555,9411825219,2342.6079999999997
5941482555,69172899,47.952
5941482559,69306883,30.09
5941482559,69190067,5069.546999999998
5941482563,69306883,24.426
5941482563,5941482559,39.398
5941482563,69306831,813.707
5947379191,5947379199,36.856
5947379191,69151302,174.332
5947379191,69446601,27.988999999999997
5947379195,69446601,25.184
5947379195,6091664246,561.213
5947379199,69446601,24.808
5947379199,69316417,347.03499999999997
5947379199,5947379195,38.91
5952747042,69172419,75.394
5952811158,69306830,46.81
5952811158,2909516843,61.274
5954332603,69306883,26.31
5954332603,69209152,4515.479000000002
5954332603,5941482563,37.8
6091664246,6091664249,27.516
6091664246,5947379195,561.213
6091664246,69394418,2991.438
6350060850,5466095725,102.659
6350060850,69193021,76.013
6350207456,6350207462,34.798
6350207456,5437239135,765.8799999999999
6521799667,69172569,153.16099999999997
6521799667,3633073271,399.77099999999996
6521799667,6521799668,152.277
6521799668,69171544,273.52500000000003
6521799668,69171513,129.977
6978295800,2917601804,39.042
6978295808,6978295814,31.494
6978295808,2917601804,46.158
7062844551,5853070780,34.876000000000005
7062844551,69255843,87.699
7062844552,5853070780,48.318
7062844552,7062844551,26.834
7062844579,69324146,87.88300000000001
7062844579,69109828,67.655
7136588202,7136588213,88.713
7136588202,69255446,637.7130000000001
7136588208,7136588202,55.128
7136588213,69255302,2467.016
7136588213,7136588202,88.713
7136588213,69407191,67.63100000000001
7136775800,69634053,14.133
7138426983,69634029,36.274
7138426984,344924544,22.153
7138612590,5411749582,60.512
7138612590,69156536,2247.331
7138612590,7138612586,35.173
7138638672,336156437,324.54800000000006
7138638672,69618148,99.911
7138737903,7138737907,53.979
7138737903,7138737906,30.02
7138737907,68402232,635.8960000000001
7192645517,3582046472,467.992
7192645517,69292799,471.34099999999995
7502147715,3582046474,129.412
7502147715,7502147722,40.282999999999994
7502147715,69381912,32.105
7515540242,7515540252,126.92500000000001
7515540252,2253202319,526.37
7515540252,69537103,73.833
7556153591,69292876,1291.63
7556153591,69506348,384.53799999999995
8194133269,8194133272,41.57
8194133272,2253272381,223.451
8313946706,8313946707,22.52
8313946706,69209152,253.853
8313946707,2507729381,83.19
8481441836,9535944762,64.882
8481441836,5198748651,298.4200000000001
9302824075,68204066,2830.1690000000003
9302824075,9308935583,61.464
9308935583,9302824075,59.888999999999996
9308935583,5430683900,898.3549999999998
9345557114,4402671305,1290.4830000000002
9411825219,5941482555,2342.608
9411825219,9411825223,38.916
9411825223,1037846094,227.509
